"x","u"
0.008600767961787131, 0.3283907208928345
0.0096995366228744, 0.3413322592484227
0.01989301787323297, 0.34786466311767206
0.029720184674895206, 0.3499753819939705
0.04429124295525963, 0.3758683575219134
0.05184818891693063, 0.38598429318857286
0.07096604304421675, 0.4076347523070395
0.08052753579382319, 0.42321163227047
0.09583758441706111, 0.4697293748148632
0.09800367843891836, 0.43737945933843225
0.11526236945056936, 0.48210786597726984
0.12506129343069658, 0.5041263801557004
0.1291609320658145, 0.5142395499764987
0.14209919507761967, 0.5491627210997285
0.14993196137853218, 0.5646034195472015
0.1616446063435951, 0.5923716593649004
0.17106451585948115, 0.6105192266896874
0.18787979810832459, 0.6524742801713734
0.19846345078762026, 0.6690976293541134
0.20768424227691376, 0.6939888155111144
0.21660830633571318, 0.7085349395870606
0.23003503228369723, 0.7333871252378346
0.2397768904169987, 0.7508185921937289
0.25030716435075573, 0.7744976391234988
0.2570485497104471, 0.7906788564076107
0.271526642816436, 0.8128984974901541
0.2816349542106227, 0.8301944962271814
0.29347197385714896, 0.8475929768319097
0.30840361109531844, 0.8672855082222863
0.3193319775910092, 0.8868400384612705
0.3309844134190062, 0.8993856241461966
0.34074822779336256, 0.9189661824504433
0.35183605258149564, 0.9305407669959881
0.36434144615893294, 0.9388813207613995
0.37140695953939495, 0.9487542259193567
0.382911073243812, 0.9562043083311993
0.39449041795565476, 0.9681836816970786
0.4061761895048216, 0.9750677555890432
0.4222324051130889, 0.9881021390230683
0.43307145662308666, 0.9938936674071335
0.4441282529877817, 0.9985530622947747
0.4585963199025235, 1.002204197187867
0.47049717236011046, 1.0030225090786242
0.4791622763017135, 1.0097693679017041
0.5006347896317179, 1.0112962895021118
0.5151909123444317, 1.0095285937409413
0.5443050793048785, 1.0095518850745098
0.5590375756410385, 0.9974318029397105
0.5741376383350743, 0.9920519415979243
0.5862430178155584, 0.9768871622699022
0.598091402385116, 0.9671911464720634
0.6106013128175988, 0.9550115154679133
0.6224414767941568, 0.9445336615917685
0.6363386003377208, 0.9354863177521419
0.6501593865355145, 0.9198607443444701
0.657792466043787, 0.9024778398190657
0.6733400862694223, 0.8834836845086528
0.686701960410502, 0.8604438245574162
0.6981618060240556, 0.8533086700895848
0.7017016156212328, 0.8376074726332332
0.7139768398732225, 0.824070040065382
0.715598790114589, 0.7949548541090916
0.7265220616310617, 0.805073482836195
0.7350849956424671, 0.7766570992744558
0.7480194218229834, 0.7563321249943642
0.7592325144736306, 0.7254914879331629
0.7697819288925806, 0.7172194460413595
0.7806347259286547, 0.6810684213192814
0.7919485821912561, 0.6563082416350607
0.8015842554120972, 0.640769185826873
0.8097594649709793, 0.6164221240409181
0.8137540742487873, 0.6005190926221132
0.8265635070717924, 0.5653469225859542
0.8257544971573788, 0.5835440775758247
0.8361029458399262, 0.5400798288622434
0.8426417329902817, 0.5180454994524033
0.8505485220606913, 0.5020781985100332
0.857795831578196, 0.4779415787752296
0.8617177718952708, 0.4622541668769339
0.8704397940332816, 0.4396149906484903
0.8773419623800119, 0.4165699629326184
0.8859216890270035, 0.3999966069337161
0.893985585420873, 0.3716953657431389
0.902779810692946, 0.3479778589988145
0.9076841649028505, 0.33194075684115687
0.9121615598542802, 0.29545244969380025
0.909676665704206, 0.315092533991981
0.9218900296299467, 0.28808867830949514
0.9290203729816878, 0.24952852177831608
0.9397563166693953, 0.21601271492887042
0.9486920367928956, 0.18474660343170912
0.9478366043392638, 0.21806811688794403
0.9552917858894913, 0.16007219720272892
0.9649812912916914, 0.12387450663017985
0.9717929054809976, 0.10162134786292354
0.9789839882635601, 0.07445171611376478
0.986895671633394, 0.05310595754837277
0.9920623049755287, 0.031758002942958496
0.9968573646026638, 0.015505135693957062
0.996848848708828, -0.0002662996901865444
